name,category,date,sets,duration,distance,notes
Bench Press,strength,2024-01-15,3x10@60kg,,,Good form throughout
Incline Dumbbell Press,strength,2024-01-15,3x12@25kg,,,Felt strong
Cable Flys,strength,2024-01-15,4x15@20kg,,,Slow and controlled
Morning Run,cardio,2024-01-16,,30,5.5,Beautiful weather
Interval Sprints,cardio,2024-01-16,,20,2.5,High intensity intervals
Yoga Flow,flexibility,2024-01-17,,45,,Focus on breathing
Squats,strength,2024-01-18,4x8@80kg,,,Deep squats with pause
Deadlifts,strength,2024-01-18,3x5@100kg,,,Personal record!
Leg Press,strength,2024-01-18,3x12@120kg,,,Controlled descent
Cycling,cardio,2024-01-19,,60,25,Moderate pace
Pull-ups,strength,2024-01-20,4x8,,,Bodyweight only
Bent-Over Row,strength,2024-01-20,3x10@50kg,,,Focus on lat engagement